sy_name,hostname,hd_name,hip_name,sy_snum,sy_pnum,sy_mnum,cb_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,sy_refname,ra,dec,glat,glon,sy_dist,sy_vmag,sy_gaiamag,rocky_count,gas_giant_count,ice_giant_count,has_rocky_planet,has_gas_giant,has_ice_giant,has_rocky_planet_in_carbon_zone,has_rocky_planet_in_sulfur_zone,has_rocky_planet_in_silicon_zone,has_gas_planet_in_carbon_zone,has_gas_planet_in_sulfur_zone,has_gas_planet_in_silicon_zone,distance_from_sol_ly,calculated_x,calculated_y,calculated_z,carbon_ranking,sulfur_ranking,silicon_ranking,combined_score,stability_score,stability_symbol,manual_entry,distance_from_origin_ly,origin_hostname
Sol,Sol,,,1.0,8.0,421.0,0,,G2 V,5772.0,1.0,1.0,0.0,Fe/H,0.0,4.44,4.6,1.41,1.997,25.0,,0.0,0.0,0.0,0.0,0.0,-26.74,-26.8,4,4,2,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0,circle,1,0.0,Sol
55 Cnc,55 Cnc,HD 75732,HIP 43587,2.0,7.0,0.0,0,<a refstr=BUTLER_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...474L.115B/abstract target=ref> Butler et al. 1997 </a>,G8 V,5200.0,,0.85,0.23,[Fe/H],,4.5,5.0,,2.0,44.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,133.1468373,28.3298154,37.69663,196.79526,12.5855,5.95084,5.72973,0,4,0,0,1,0,0,0,0,1,2,3,41.04836338,-24.70962177143627,26.36204946942983,19.47934998557246,1.0,2.0,3.0,2.0,0,circle,0,41.04836338,Sol
55 Cnc,55 Cnc B,,,2.0,7.0,0.0,0,<a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>,M4.5 V,3286.0,0.274,0.26,0.16,[M/H],,4.86,10.0,,1.29,92.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,133.167908,28.3152863,37.71118,196.81868,12.4773,13.152,11.6798,0,0,0,0,0,0,0,0,0,0,0,0,40.695462588,-24.510147571943506,26.129969984239455,19.30279798048989,0.0,0.0,0.0,0.0,0,circle,0,40.695462588,Sol
AU Mic,AU Mic,HD 197481,HIP 102409,1.0,4.0,0.0,0,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,M1 V,3540.0,0.862,0.635,0.01,[Fe/H],-0.97757,4.37,0.019,,9.2,4.86,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,311.2911369,-31.34245,-36.80401,12.65304,9.7221,8.81,7.84038,0,1,0,0,1,0,0,0,0,0,0,0,31.709212475999994,17.871020337498624,-20.348503016446646,-16.493611276324117,0.0,0.0,0.0,0.0,2,square,0,31.709212475999994,Sol
COCONUTS-2,COCONUTS-2 A,,,1.0,1.0,0.0,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,M3 V,3406.0,0.388,0.37,0.0,[Fe/H],-1.732,4.83,0.475,,,2.83,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,117.300914,-76.702696,-23.12313,288.91588,10.8864,11.298,10.146,0,1,0,0,1,0,0,0,0,0,1,1,35.506646784,-3.7457547868415806,7.2569829036504006,-34.55470280666174,0.0,1.0,1.0,0.6666666666666666,2,square,0,35.506646784,Sol
GJ 338,GJ 338 B,HD 79211,HIP 120005,2.0,1.0,0.0,0,<a refstr=DITOMASSO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...38D/abstract target=ref>DiTomasso et al. 2023</a>,M0 V,4014.0,0.58,0.64,-0.03,[Fe/H],-1.10127,4.68,4.0,,2.3,16.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,138.5916722,52.6835211,42.66615,164.94013,6.33256,7.7,7.04775,0,0,0,0,0,0,0,0,0,0,0,0,20.6540243936,-9.390805123398438,8.281534529203217,16.426128229969237,0.0,0.0,0.0,0.0,0,circle,0,20.654024393599997,Sol
GJ 338,GJ 338 A,HD 79210,HIP 45343,2.0,1.0,0.0,0,<a refstr=DITOMASSO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...38D/abstract target=ref>DiTomasso et al. 2023</a>,M0 V,4001.0,0.58,0.69,-0.05,[Fe/H],-1.10292,4.68,4.0,,2.9,16.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,138.5839158,52.6841592,42.66141,164.94047,6.33278,7.64,6.96885,0,0,0,0,0,0,0,0,0,0,0,0,20.654741936799997,-9.389872940372555,8.28297246298289,16.426838339039286,0.0,0.0,0.0,0.0,0,circle,0,20.654741936799997,Sol
GJ 486,GJ 486,,HIP 62452,1.0,1.0,0.0,0,<a refstr=CABALLERO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...665A.120C/abstract target=ref>Caballero et al. 2022</a>,M3.5 V,3291.0,0.339,0.333,-0.15,[Fe/H],-1.9165,4.82,4.0,11.57,2.0,49.9,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,191.981531,9.7494181,72.60142,300.0371,8.07426,11.39,10.094,0,0,0,0,0,0,0,0,0,0,0,0,26.3346834456,-25.38892538282554,-5.3880295249813575,4.459501981522675,0.0,0.0,0.0,0.0,0,circle,0,26.334683445599996,Sol
GJ 514,GJ 514,,HIP 65859,1.0,1.0,0.0,0,<a refstr=DAMASSO_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.187D/abstract target=ref>Damasso et al. 2022</a>,M0.5-1.0 V,3728.0,0.5,0.51,-0.14,[Fe/H],-1.36653,4.76,0.8,,,28.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,202.5040424,10.3725387,70.9386,333.2377,7.61778,9.05,8.20621,0,0,0,0,0,0,0,0,0,0,0,0,24.845846536799996,-22.578782815163283,-9.354304440083531,4.473437733794577,0.0,0.0,0.0,0.0,0,circle,0,24.8458465368,Sol
GJ 806,GJ 806,,HIP 102401,1.0,2.0,0.0,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600.0,0.4144,0.413,-0.28,[Fe/H],-1.58528,4.98,5.0,8.6,2.0,41.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,311.2697002,44.5002351,1.00774,84.07015,12.0445,10.79,9.82461,0,0,0,0,0,0,0,0,0,0,0,0,39.28385941999999,18.481529859510104,-21.059534506157732,27.53453597514057,0.0,0.0,0.0,0.0,0,circle,0,39.28385941999999,Sol
